"","logFC","logCPM","LR","PValue","FDR"
"YPR008W_mRNA",-0.122558771422071,7.49904679984773,0.31112304067548,0.57699185902658,0.681953136430842
"YIL118W_mRNA",-0.118578728579611,4.64119492318811,0.310670652487119,0.577268937513684,0.682141035818134
"YPR058W_mRNA",0.147953373834196,4.61663626142802,0.31010425212134,0.577616219126681,0.682411798256435
"YPL014W_mRNA",0.121496281450422,5.13849869374557,0.308870501988607,0.578374118844015,0.683122539506537
"YOL036W_mRNA",-0.112122453136727,6.60150801114747,0.308740081524728,0.57845435261885,0.683122539506537
"YOR174W_mRNA",0.172677187856617,3.60568969521929,0.307475469921844,0.579233485311808,0.683902823213615
"YDL132W_mRNA",0.0928442823527067,6.17424376697526,0.306383667629989,0.579907836312129,0.684494950343101
"YGR031W_mRNA",0.158505166565633,2.89330941416013,0.306198169754587,0.580022564919937,0.684494950343101
"YKL194C_mRNA",0.13382898093526,4.13132290492156,0.306088349050754,0.580090509336822,0.684494950343101
"YLR135W_mRNA",-0.151163697777664,4.17559407376081,0.305305988451291,0.580575005276041,0.68471960004351
"Q0115_mRNA",0.336452338869424,2.90788501295613,0.305218089615932,0.580629489400718,0.68471960004351
"YLR420W_mRNA",0.119310041552578,4.06559902514974,0.305206731231751,0.580636530646314,0.68471960004351
"YGR227W_mRNA",0.128595818669194,4.37832582670598,0.30438027233395,0.58114932534756,0.685184426047664
"YGR009C_mRNA",-0.166432264209915,6.8447709254685,0.304173301143763,0.581277887369842,0.685196138254736
"YGL242C_mRNA",0.172518505889227,3.29005599739769,0.303709133483387,0.58156641684631,0.685335799024219
"YBL035C_mRNA",0.133234778412067,3.62934150048124,0.303472003899955,0.581713929006248,0.685335799024219
"YFL005W_mRNA",0.1439793273015,6.19600025666819,0.303410302985387,0.581752323860067,0.685335799024219
"YMR228W_mRNA",0.10845394147318,4.11337570179519,0.303166902382139,0.581903835290512,0.685374500945758
"YOR341W_mRNA",0.150915659673556,6.47659177003085,0.302973483652647,0.582024290650491,0.685375224574453
"YHR201C_mRNA",0.118530240504041,4.63083866236258,0.302784924313837,0.582141767964381,0.685375224574453
"YJR071W_mRNA",0.191604184645447,3.42328740819907,0.301445822898976,0.582977436269156,0.686219211716047
"YBR207W_mRNA",0.111625358172092,5.18077246988568,0.298978852232826,0.584523297942613,0.687898648923499
"YKL075C_mRNA",0.136965101408052,4.91228052094069,0.298308946700651,0.584944506505375,0.688034342942981
"YDL043C_mRNA",0.220323450692217,2.64712381446665,0.298272426776105,0.584967486350163,0.688034342942981
"YJL020C_mRNA",-0.153384003526585,7.59755004755753,0.298136223893176,0.585053206940594,0.688034342942981
"YHR007C-A_mRNA",0.219941477628672,4.26974967103804,0.298037940466381,0.585115078347632,0.688034342942981
"YML021C_mRNA",0.132048925388297,4.04909733580792,0.295265638183185,0.586865777410376,0.689952519910917
"YJL146W_mRNA",0.121174473044256,4.37553019420879,0.294980226758441,0.587046617546629,0.690024677034865
"YNL082W_mRNA",0.123581394692923,4.48184318378389,0.293720797351813,0.587845962799849,0.690709528129844
"YDL141W_mRNA",-0.171704798961552,2.77698704073712,0.293685452036304,0.587868428027409,0.690709528129844
"YJL167W_mRNA",0.0930657696074008,7.56027545457581,0.292367027730027,0.588707660940051,0.691479121089907
"YHR026W_mRNA",0.13198577571943,5.39301302525006,0.292280434703382,0.588762866606676,0.691479121089907
"YFL027C_mRNA",-0.126129717817933,4.10830153797385,0.291923624431031,0.588990455467754,0.691605787920664
"YJR065C_mRNA",0.127025327854981,5.19906113721111,0.289921104672993,0.590271092683226,0.692941344541914
"YBR029C_mRNA",-0.112211668986865,5.05340906954404,0.289770260656035,0.59036779025117,0.692941344541914
"YPR032W_mRNA",-0.126223101717311,5.11140943190717,0.289165871142661,0.5907555560817,0.693255605836631
"YML057W_mRNA",0.100114461397378,5.74054344953912,0.288886180232235,0.590935177761845,0.6933255305205
"YDL240W_mRNA",-0.125622559421146,4.96081400605371,0.288258482291282,0.591338703107941,0.693658072532792
"YMR195W_mRNA",0.203238178164561,6.57254811767074,0.286993195042895,0.592153835986764,0.694443680687395
"YOR279C_mRNA",-0.170008174951599,3.19155260990023,0.286769233804562,0.592298358803226,0.694443680687395
"YAL032C_mRNA",-0.106871468080246,4.02089319369323,0.286659625023116,0.592369116126523,0.694443680687395
"YJL066C_mRNA",-0.105862204700191,5.50207735876679,0.286433266213166,0.59251529586993,0.694474096782613
