"","logFC","logCPM","LR","PValue","FDR"
"YDR052C_mRNA",0.652961268404858,5.80632628384872,3.77066533941413,0.0521588814935242,0.0920469598248078
"YDL098C_mRNA",-0.685996823611372,2.58912523867689,3.76110983037761,0.0524577490951853,0.0925461083609623
"YIL142W_mRNA",-0.376067342348254,6.19355257722421,3.75738927454924,0.0525746066390596,0.0927239474647963
"YDL009C_mRNA",0.66228617941027,5.32155848724848,3.75415934761345,0.052676277634017,0.0928749022021008
"YJL174W_mRNA",0.376454190821962,6.43594397124201,3.75292965112718,0.0527150404566104,0.0929148836366743
"YPR133C_mRNA",0.43637355582018,5.49024865452117,3.75095100608925,0.0527774752293301,0.0929965518378921
"YHL036W_mRNA",0.593494850567486,5.49980906869549,3.74457217875949,0.0529792882422219,0.0933236867603153
"YBR273C_mRNA",0.357850121060254,5.48629515670415,3.73962087920256,0.0531365003651556,0.0935720811308349
"YBL059C-A_mRNA",0.429535047042687,5.89868475649597,3.738027164411,0.053187208525674,0.0936328303700985
"YFL013C_mRNA",0.41910850151221,4.57627086502092,3.73575364860002,0.0532596350198233,0.0937317647393356
"YOR204W_mRNA",0.519961032932063,7.39753474290448,3.7339403715797,0.0533174747312772,0.0938049753420216
"YOR210W_mRNA",-0.503095691176832,4.469114120095,3.7332488972086,0.0533395488209274,0.0938152356850416
"YKL172W_mRNA",0.691126472148415,5.83975350047465,3.72741084901583,0.0535263043862999,0.094115048443004
"YPL074W_mRNA",0.354308418363822,5.55610999412344,3.72666908695706,0.0535500824351277,0.0941282033308879
"YLR275W_mRNA",-0.591046156372027,3.07702983099224,3.72571263339755,0.0535807591852051,0.0941534727878748
"YJL187C_mRNA",-0.428439407729658,4.02905284398282,3.72348703158845,0.05365221394832,0.0942503612425475
"YHR083W_mRNA",-0.463659843896617,4.34978947401061,3.71575708716689,0.0539011752445735,0.0946589201011421
"YJL108C_mRNA",-0.656949548992454,3.50616876502326,3.71420611162825,0.0539512753564042,0.0947181053065625
"YBR203W_mRNA",-0.434050879373891,6.80227623619906,3.71323330184415,0.0539827245456672,0.0947272825383153
"YIL078W_mRNA",-0.365509374968795,7.23901711533273,3.71302988818415,0.0539893029979457,0.0947272825383153
"YMR209C_mRNA",-0.478322899604425,3.84003430998692,3.71108505252136,0.0540522424013386,0.0947994966461557
"YGR083C_mRNA",0.594885725620982,5.95818143065883,3.71074404056261,0.0540632863491061,0.0947994966461557
"YCL069W_mRNA",-0.665634258891291,2.89797996806335,3.70164920940566,0.0543587137440663,0.0952885980533314
"YIL041W_mRNA",-0.505465131126554,5.99253479598182,3.70036659636544,0.0544005143010669,0.0953329401101221
"YNL148C_mRNA",-0.799196461628827,2.52601626768636,3.69240487985608,0.0546607510788584,0.0957599327362713
"YBR115C_mRNA",-0.545415203915965,6.73005750939241,3.69134933936169,0.0546953514237114,0.0957914947918002
"YMR317W_mRNA",0.444918716084424,4.99245169766592,3.69046376030648,0.0547243983852699,0.0958133146630249
"YGR007W_mRNA",-0.467272816076018,4.52189729462756,3.67066054835152,0.0553782328927343,0.0969070959613748
"YAL044W-A_mRNA",0.50254783365977,3.84555255436785,3.67052689267825,0.0553826737826347,0.0969070959613748
"YML102W_mRNA",-0.677831049661664,3.32688585900189,3.66966021673299,0.0554114794245524,0.096928136025504
"YDR540C_mRNA",0.808679473936201,2.93060296382461,3.66600855370053,0.0555330240869381,0.0971113373073432
"YLR240W_mRNA",-0.392181213836778,5.03463855947673,3.66469075384498,0.0555769561163597,0.0971587465278734
"YLR017W_mRNA",-0.444792352699567,4.52566522054507,3.66267247195463,0.0556443118708692,0.0972470636508745
"YBR241C_mRNA",0.495384914310792,5.28251454064307,3.65958812667651,0.0557474124714782,0.0973685534845559
"YOR251C_mRNA",-0.588378908542484,4.05626224287582,3.6595842359571,0.0557475426546791,0.0973685534845559
"YNL122C_mRNA",0.513755106499494,3.91406757351253,3.65872904652133,0.0557761650601413,0.0973890959453978
"YPR041W_mRNA",-0.422473496829121,4.89074102016097,3.6552481276858,0.0558928291710121,0.0975633065251635
"YDL066W_mRNA",-0.398713770588026,7.52452190753594,3.65347920178689,0.0559522144583463,0.0976374594294285
"YPL212C_mRNA",-0.433116873584317,5.02390591395002,3.64752145826216,0.056152717000353,0.0979577449091026
"YER048C_mRNA",0.468842383610451,5.72946492061486,3.64527604232838,0.0562284821349138,0.0980602997618545
"YDR365C_mRNA",0.684253085245192,5.59628597519074,3.63216455089559,0.0566730633751953,0.0988057995940623
"YDR485C_mRNA",0.773017296681701,6.46265915440163,3.63053759220953,0.0567284895142577,0.0988725876386096
"YDL234C_mRNA",0.32491362484256,6.21290994359737,3.6287751997217,0.0567885944441214,0.0989474876347648
"YIL067C_mRNA",-0.69396612632061,4.20980630630702,3.62334526070203,0.056974203334411,0.0992396356223945
"YGR168C_mRNA",0.523284076703093,3.83578699513797,3.62278768325372,0.0569932991507556,0.0992396356223945
"YDL014W_mRNA",0.414794333573545,4.39488901736218,3.62236411234426,0.0570078100753298,0.0992396356223945
"YJR121W_mRNA",0.348702766539928,10.435997935407,3.6214051215904,0.0570406782007972,0.0992669350068709
"YHR113W_mRNA",-0.382184163981848,6.9623022540876,3.61763689550768,0.057170024074924,0.0994620659809521
"YDR308C_mRNA",-0.658688966007838,2.88296483988047,3.61537134079951,0.0572479400101676,0.099567630683146
"YIR001C_mRNA",-0.562670865701238,4.64236803573129,3.60556247486371,0.0575865852919984,0.10011893253544
"YPR052C_mRNA",0.389706509474639,4.91019645776365,3.60518711059727,0.0575995867062445,0.10011893253544
"YJL189W_mRNA",0.514634846885483,6.78775854588095,3.59607165845289,0.0579162757259024,0.1006391120917
"YER141W_mRNA",-0.468947547131184,8.57702394776361,3.59374543653441,0.0579973891728308,0.100749750334518
