"","logFC","logCPM","LR","PValue","FDR"
"YMR201C_mRNA",0.188256946204083,4.90063458446479,0.37533998885463,0.540107808041629,0.606112822857674
"YIL038C_mRNA",-0.134322453338877,4.86621427486551,0.373637705622508,0.541028053296,0.607027590489063
"YPL217C_mRNA",-0.153919421328199,6.6169609552045,0.369325625179947,0.543372089822773,0.609539170871303
"YFR045W_mRNA",-0.118784141021619,4.60535356151101,0.368962776210099,0.543570187465426,0.60964299083501
"YOR032W-A_mRNA",0.180527166564353,2.8237822350507,0.368119517501175,0.544031080673259,0.61004145252742
"YNL175C_mRNA",0.172411737587282,4.51855803518505,0.367869910872328,0.544167644714957,0.61007614826739
"YHR098C_mRNA",-0.128204848583739,5.42241847950404,0.366945602651689,0.544673901959538,0.61052521981725
"YGR156W_mRNA",-0.15900581552481,3.83504474030582,0.364087377660216,0.546244927199283,0.612167384459267
"YPL228W_mRNA",0.150460476700071,4.41411246258546,0.362842025990683,0.546932068101382,0.612818550020094
"YKL049C_mRNA",0.161142531834102,4.00008544867916,0.362559641172056,0.547088101532659,0.612874490778246
"YNL279W_mRNA",0.235892262301767,2.57093336559899,0.360767747414971,0.548080157148176,0.613866780625919
"YIR015W_mRNA",0.171657159867066,3.49146896508276,0.358793113032548,0.549177274765338,0.614976335603838
"YDR514C_mRNA",-0.148735844333248,4.0732502027025,0.357645881854807,0.549816568134142,0.615521319600495
"YCR021C_mRNA",-0.137809260699225,10.5293935630831,0.357537422238579,0.549877079144487,0.615521319600495
"YCL051W_mRNA",-0.122630305653647,4.95494719710568,0.356348900182868,0.550540988438763,0.616145078322476
"YKR045C_mRNA",0.259137271424882,2.07278647736411,0.355880616411762,0.55080298457072,0.616318876187617
"YJL099W_mRNA",-0.19003607884885,3.86046191224313,0.352666225142269,0.552607711307054,0.618218504843994
"YCL044C_mRNA",0.172147801975516,3.27440710209195,0.352183551095056,0.552879669826952,0.618402976940448
"YMR198W_mRNA",-0.14863451541634,3.52958223323628,0.351451820547539,0.553292438047395,0.61874484456181
"YPL066W_mRNA",0.152539556589675,4.53256875132612,0.350233282540255,0.55398110418977,0.619395055710436
"YKL145W_mRNA",0.128073035088041,7.11467284374882,0.348047356152898,0.555220561052573,0.620660723948067
"YMR025W_mRNA",0.20878978479368,3.06265799387063,0.345499075894439,0.556672119632286,0.622162957236084
"YDR325W_mRNA",0.122242520822603,4.38207408477898,0.344235002363579,0.557394839285048,0.62285018218426
"YJR154W_mRNA",-0.208215100362902,2.88712767723473,0.342221087525221,0.55854996527075,0.624020231993008
"YPL003W_mRNA",0.131090969203196,5.32686667081871,0.34185961397834,0.558757779277362,0.624131683060539
"YOL080C_mRNA",-0.20967606858356,2.82410010258194,0.34036088864299,0.559620984205037,0.624975020256824
"YAL063C_mRNA",-0.129870302254402,3.89633881124713,0.339880434392007,0.559898245578085,0.625023092115766
"YOR258W_mRNA",0.169536445153387,3.40332975450612,0.339873369905932,0.559902324322405,0.625023092115766
"YBR094W_mRNA",0.134142771609018,4.83405100789352,0.339723856992022,0.559988660266463,0.625023092115766
"YGR208W_mRNA",-0.193926486044799,3.36672068132832,0.339279660510865,0.560245310890517,0.625101021683562
"YGR171C_mRNA",-0.150737402870173,4.00183810752087,0.339228424392847,0.560274928887777,0.625101021683562
"YDR311W_mRNA",0.11547725189738,5.17425701970492,0.338472430240095,0.560712293996193,0.625468174994595
"YMR290C_mRNA",0.157073965226976,4.1354029416566,0.337315239200962,0.561383031331418,0.626095460314785
"YFL001W_mRNA",0.192713503538925,3.27109539269011,0.33669484001886,0.56174326427614,0.62637627306158
"YCR034W_mRNA",0.233535352953213,3.84373694900885,0.333825559910345,0.563415095529109,0.628119203199408
"YLR227C_mRNA",0.145787113502061,4.70339603489942,0.33266559650024,0.564093687953971,0.628754369282543
"YDR111C_mRNA",-0.141621623155742,3.51401974988705,0.330056769287323,0.565625662174123,0.630340309611757
"YGR169C_mRNA",-0.230324987662971,2.32728656357528,0.329206341796858,0.566126796898867,0.630777079260775
"YBR138C_mRNA",-0.118463826149584,4.2915215751733,0.326165658262253,0.567925658285574,0.632593859190339
"YKR053C_mRNA",0.137296258639128,4.27464133316186,0.326080139341938,0.56797641166224,0.632593859190339
"YJL141C_mRNA",0.112637107554563,6.52351330348014,0.325577488503529,0.568274901084808,0.632804285457075
"YKR006C_mRNA",0.11900338912286,5.27221053009193,0.325064569040789,0.568579803352509,0.633021770270642
"YDR522C_mRNA",-0.281094745098381,2.02319834288212,0.321452997418641,0.570735752416333,0.635299615717236
"YMR146C_mRNA",-0.112520227898886,5.99198889186243,0.32102960708816,0.570989544855168,0.63545965531473
"YDR366C_mRNA",0.163610465649692,4.88362242741907,0.320659720600949,0.571211446545418,0.63558414857375
"YLR250W_mRNA",0.114525152298785,5.49153604478749,0.320425410415414,0.571352100988281,0.635618207879105
"YBL035C_mRNA",0.144000833709458,3.62934150048124,0.320076988468661,0.571561381381177,0.635728584413187
"YCL031C_mRNA",0.212891947158575,4.27332983308548,0.319234763782793,0.572067887168754,0.636169448649735
"YBR068C_mRNA",-0.137029603528541,5.91670181172044,0.318593080720449,0.572454381112031,0.636476709394243
"YGL242C_mRNA",-0.191811993642563,3.29005599739769,0.318316988312803,0.572620833048056,0.636539247822474
"YKR037C_mRNA",-0.165695722840266,3.67956702368735,0.317565454728189,0.573074403834913,0.636920869068782
"YLR239C_mRNA",-0.145663548622287,3.54634094187395,0.316738509496839,0.57357430544436,0.637353826134403
"YDR340W_mRNA",-0.235381656358378,2.2387134519838,0.31256437937559,0.576110826428562,0.639926341889887
"YKR098C_mRNA",0.116423688043945,4.31565825521566,0.312564139856145,0.576110972615549,0.639926341889887
"YDR504C_mRNA",-0.138341737238639,4.31659741036698,0.311593523546092,0.576703977950527,0.640461868225773
"YMR180C_mRNA",-0.106460823022556,4.70158014159738,0.305592521397015,0.580397468778769,0.644439788478695
"YGR012W_mRNA",-0.143500160447537,3.76892034469135,0.305218242750542,0.580629394471271,0.644510917795824
"YBR034C_mRNA",-0.152059322772041,4.6897010920024,0.305129038682015,0.580684698097207,0.644510917795824
"YOR358W_mRNA",-0.174225146504953,2.97218407911741,0.304642987663939,0.580986219439847,0.6447216913515
"YJL145W_mRNA",0.161466827532833,3.97383671076784,0.302433262518663,0.58236098967396,0.646014941325857
"YOL090W_mRNA",0.140694596707311,4.15117993850107,0.302410297527653,0.582375311544968,0.646014941325857
"YNL107W_mRNA",-0.153686588502251,4.10799107535865,0.302075280383827,0.582584321973826,0.646021944019174
"YJR145C_mRNA",-0.125930407345296,7.1827238051505,0.302041642663259,0.582605316204272,0.646021944019174
"YKR030W_mRNA",-0.191370602715743,2.99469895922469,0.301051600804835,0.583223911413242,0.64658374516754
"YMR046W-A_mRNA",0.208173891079146,2.99241615806318,0.300332467953864,0.58367406828318,0.646958629515189
"YDR362C_mRNA",-0.107134609746159,4.87828767092526,0.298911687005816,0.584565500966555,0.647822397080357
"YOR323C_mRNA",0.136175570517356,5.5182967573382,0.296964250268989,0.585791852002549,0.64905692253342
"YCL027W_mRNA",-0.239047953580744,2.42424666587949,0.295396036435827,0.586783193172354,0.650030633633203
"YGR054W_mRNA",0.137013513821277,4.43664658509103,0.294760498097859,0.587185917488753,0.65035203440365
"YIL159W_mRNA",0.133715649094516,3.75467305393123,0.294268246609948,0.587498231105561,0.650495062653277
"YML082W_mRNA",-0.15943897433456,3.80875468926359,0.294201989066394,0.587540294643723,0.650495062653277
"YPL168W_mRNA",0.13553321390611,5.00776852212347,0.293870857700011,0.587750604992841,0.650603199394146
"YOR319W_mRNA",0.134970787864077,4.79428522135296,0.292618742907426,0.58854724489523,0.651360200520185
"YER023W_mRNA",-0.116865421883327,4.88337952279668,0.292087583005998,0.588885853368134,0.651610093688571
"YIL078W_mRNA",-0.102439297535164,7.23901711533273,0.290739081560438,0.589747298315072,0.652438305893096
"YDR078C_mRNA",-0.132645221918079,3.62313004417838,0.290529729633014,0.589881266929636,0.652461546875829
"YHR159W_mRNA",-0.115665583815856,4.34719758613497,0.286734162079826,0.59232099726169,0.655034669765178
"YPL211W_mRNA",0.190060942162987,3.8432977660864,0.283735228453994,0.594263401617484,0.657056931038015
"YLR353W_mRNA",0.150049536341812,4.21762688684576,0.283489611290734,0.594423070583248,0.6571076852993
"YPL071C_mRNA",-0.21921483840381,4.0941737176601,0.283082928361717,0.594687639273757,0.657274359824956
"YMR010W_mRNA",0.14573129739934,4.55109895918853,0.282865771640059,0.594829011050861,0.65730483409791
"YDR038C_mRNA",0.147139920309249,4.76352556061178,0.282398524032724,0.595133431362677,0.65742269168588
"YLR393W_mRNA",0.189724232293157,3.00642933772943,0.28235269700772,0.595163305890835,0.65742269168588
"YMR138W_mRNA",-0.18970140752221,2.67533501401914,0.281298400896147,0.595851459005751,0.658056984171552
"YDL096C_mRNA",-0.251882037178417,2.50840580917227,0.280999538350617,0.596046831132666,0.658146911990495
"YDR168W_mRNA",0.135267152208986,6.14785959678107,0.278968028372406,0.597378406483519,0.659491145995567
"YLR292C_mRNA",0.109974173345359,5.05789348318148,0.276480716585926,0.599017212438899,0.661173976504315
"YDR348C_mRNA",0.117849874519698,4.88724049295372,0.270237742933192,0.603172336925493,0.665633056568905
"YOR297C_mRNA",-0.17643886758844,3.19827006111912,0.268890043721529,0.604077313906687,0.666504405945564
"YDL106C_mRNA",-0.125552663045737,4.77733478216327,0.267603178843073,0.604944130579063,0.667213880949326
"YGR015C_mRNA",0.185137001267523,2.82947999433208,0.267592452539874,0.60495136678179,0.667213880949326
"YPR151C_mRNA",0.165956211301264,4.38377174556327,0.266866494176176,0.605441542257003,0.667627023305928
"YHR031C_mRNA",-0.1181144619009,4.44450357099875,0.266414567866524,0.605747114849999,0.667836483178774
"YHR201C_mRNA",0.114753588665968,4.63083866236258,0.265344040050383,0.606472270211741,0.668508365027294
"YGL018C_mRNA",0.173052599889509,3.27630114970162,0.264975988618923,0.606722008899806,0.668656043389674
"YNL223W_mRNA",-0.130921756129626,4.94916877787069,0.264633559421,0.606954558903274,0.668784725720204
"YLR245C_mRNA",-0.251806567496922,2.60383454296107,0.264360102644748,0.607140405143389,0.668809796026811
"YDL017W_mRNA",-0.235817407031807,2.65011011566183,0.264170604857205,0.607269262616611,0.668809796026811
"YGL122C_mRNA",-0.106073398420125,5.62314411275554,0.263943163850887,0.607423998441655,0.668809796026811
"YKL150W_mRNA",0.0880378163977643,8.95263567665072,0.263918951185981,0.607440476100528,0.668809796026811
"YPL222W_mRNA",-0.119869030464561,6.61923154249588,0.263675303514548,0.607606341002165,0.668864918168192
"YER177W_mRNA",-0.0888733447513329,8.38064452845216,0.261761328991361,0.608912672347753,0.670175227797375
"YDR217C_mRNA",-0.134200462702066,5.69216376120057,0.261477159916855,0.609107137665326,0.670261540703929
"YKL018C-A_mRNA",0.133824280456812,4.16135925011519,0.260560340926136,0.609735454233953,0.670800690569483
"YPL091W_mRNA",0.106872021464381,8.01020237799133,0.260423480245885,0.609829367413496,0.670800690569483
"YBR151W_mRNA",-0.0911565088954116,6.29871537145578,0.259088517457958,0.610747048039165,0.671587985531074
"YDL113C_mRNA",0.117980767216052,5.24539670731389,0.25904407941175,0.610777646813493,0.671587985531074
"YOL033W_mRNA",0.124793707091574,4.04011122496201,0.258502891464071,0.611150558863354,0.6718701233336
