"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009199","ribonucleoside triphosphate metabolic process","49/2519","63/6447",0.777777777777778,1.99060473732963,6.32699849124269,3.65030595232599e-10,3.44142733394289e-08,2.7772210783486e-08,"YLR446W/YJL052W/YOR393W/YCR012W/YKL016C/YJL116C/YDR322C-A/YPL075W/YKL152C/YPL271W/YAL038W/YBR196C/YDL004W/YHR174W/YJR009C/YLR295C/YJR121W/YKL060C/YMR323W/YDL021W/YDR050C/YML081C-A/YDR226W/YBL099W/YPL078C/YPR020W/YOL136C/YDR298C/YDR377W/YGR240C/YER005W/YOL077W-A/YFR053C/YNR012W/YJR103W/YBR039W/YOR344C/YMR205C/YER170W/YOR347C/YGR254W/YLR432W/YCL040W/YGL253W/YOL056W/YOR020W-A/YGR192C/YLR345W/YDL185W",49
"GO:0009205","purine ribonucleoside triphosphate metabolic process","46/2519","58/6447",0.793103448275862,2.02982847599622,6.30864288553707,3.9237408815699e-10,3.50452014527585e-08,2.82813677945841e-08,"YLR446W/YJL052W/YOR393W/YCR012W/YKL016C/YJL116C/YDR322C-A/YPL075W/YKL152C/YPL271W/YAL038W/YBR196C/YDL004W/YHR174W/YJR009C/YLR295C/YJR121W/YKL060C/YMR323W/YDL021W/YDR050C/YML081C-A/YDR226W/YBL099W/YPL078C/YPR020W/YOL136C/YDR298C/YDR377W/YGR240C/YOL077W-A/YFR053C/YBR039W/YOR344C/YMR205C/YER170W/YOR347C/YGR254W/YLR432W/YCL040W/YGL253W/YOL056W/YOR020W-A/YGR192C/YLR345W/YDL185W",46
"GO:0015980","energy derivation by oxidation of organic compounds","106/2519","170/6447",0.623529411764706,1.59582934404409,6.30440027272089,4.39342826794138e-10,3.72782388534826e-08,3.00834219820617e-08,"YMR145C/YIL045W/YMR118C/YPL262W/YFR015C/YLR164W/YLR174W/YMR002W/YOL126C/YLR044C/YJL116C/YNR001C/YOL086C/YER065C/YJR048W/YPL271W/YNL052W/YPR001W/YIL111W/YBL030C/YNL037C/YDL067C/YOR356W/YOR136W/YDR529C/YNL031C/YJR121W/YBR238C/YPR184W/YGL187C/YDR487C/YFR049W/YIL070C/YLR087C/YBL021C/YNL117W/YFL053W/YFL018C/YIL099W/YPR191W/YDL085W/YJL200C/YLR256W/YLR395C/YOL045W/YNL242W/YHR051W/YKL035W/YGR244C/YML070W/YJL209W/YLR038C/YIL050W/YKL148C/YDR298C/YLR134W/YLL041C/YAL017W/YGL134W/YKR058W/YJR120W/YPL159C/YPR160W/YJL166W/YER129W/YIL024C/YML110C/YLR304C/YGR183C/YKL127W/YOR377W/YPL031C/YMR256C/YNL009W/YKR046C/YDR031W/YEL011W/YDR081C/YER067W/YEL024W/YPL219W/YDR178W/YHR001W-A/YMR105C/YOR065W/YPL132W/YLL013C/YOR142W/YBR010W/YFR017C/YLR139C/YML120C/YFR021W/YGL226W/YDR148C/YMR165C/YGR177C/YKL093W/YER059W/YLR258W/YOR178C/YGL191W/YBL045C/YOR002W/YOL008W/YNR074C",106
"GO:0009144","purine nucleoside triphosphate metabolic process","47/2519","60/6447",0.783333333333333,2.00482334259627,6.26167290421814,5.45632658560495e-10,4.40923153131981e-08,3.55823603402107e-08,"YLR446W/YJL052W/YOR393W/YCR012W/YKL016C/YJL116C/YDR322C-A/YPL075W/YKL152C/YPL271W/YAL038W/YBR196C/YDL004W/YHR174W/YJR009C/YLR295C/YJR121W/YKL060C/YMR323W/YDL021W/YDR050C/YML081C-A/YDR226W/YBL099W/YPL078C/YPR020W/YOL136C/YDR298C/YDR377W/YGR240C/YOL077W-A/YFR053C/YBR039W/YOR344C/YBR252W/YMR205C/YER170W/YOR347C/YGR254W/YLR432W/YCL040W/YGL253W/YOL056W/YOR020W-A/YGR192C/YLR345W/YDL185W",47
"GO:0019637","organophosphate metabolic process","225/2519","423/6447",0.531914893617021,1.36135582340172,6.1565336112473,8.31727990159878e-10,6.41564726955143e-08,5.1774072497512e-08,"YNL141W/YLR377C/YMR145C/YIL155C/YLR446W/YJL052W/YKL165C/YMR271C/YLR174W/YGR256W/YGR248W/YDL055C/YLR231C/YOR393W/YOL055C/YCR012W/YOR317W/YKL016C/YJL116C/YNL129W/YNR001C/YOL086C/YKR031C/YHL032C/YDR322C-A/YOL059W/YPL075W/YKL152C/YNL334C/YPL061W/YPL271W/YMR315W/YLR168C/YER037W/YBR117C/YAL038W/YBR196C/YML075C/YDL004W/YDL022W/YNL264C/YGR043C/YMR207C/YMR272C/YHR174W/YJR009C/YDL166C/YJL005W/YLR295C/YJR121W/YKL060C/YMR323W/YER003C/YDL021W/YNL200C/YHR202W/YDR050C/YML081C-A/YDR226W/YFL060C/YKR080W/YFL053W/YBL099W/YLR099C/YDL085W/YPL078C/YKR089C/YKL035W/YOR095C/YGR244C/YML070W/YOR128C/YFL059W/YCR026C/YDR400W/YML035C/YPR020W/YNL241C/YNL087W/YOL136C/YOR222W/YPL206C/YNL106C/YJR078W/YDR298C/YJL145W/YDR377W/YNR034W/YDR319C/YGR240C/YCR068W/YGL126W/YAR015W/YJR049C/YPR074C/YBR111C/YOR074C/YER005W/YJR019C/YOR054C/YGL071W/YPL214C/YOL077W-A/YFR053C/YNL054W/YDR072C/YHR190W/YML022W/YDR408C/YHR183W/YNR012W/YDR372C/YOR143C/YCL052C/YER099C/YJR103W/YMR303C/YDR147W/YLR240W/YGL234W/YIL002C/YFL045C/YOR120W/YKL127W/YOR109W/YBR039W/YOR344C/YPL031C/YDR208W/YPL202C/YCL004W/YNL071W/YNL009W/YDR017C/YML106W/YBR252W/YDR481C/YMR205C/YCR017C/YBR242W/YCL047C/YLR410W/YER170W/YOR347C/YGR254W/YOR175C/YMR105C/YJL091C/YKL216W/YHR163W/YNL128W/YNL220W/YMR224C/YOR142W/YLR432W/YPL110C/YGR149W/YJL100W/YDR287W/YDR302W/YPL076W/YOL064C/YMR220W/YHR074W/YER070W/YLR450W/YHR004C/YPR183W/YGR180C/YOR111W/YCL040W/YGL253W/YML059C/YOR374W/YEL042W/YOL056W/YBL060W/YJR025C/YML120C/YDR018C/YMR120C/YFL017C/YDR173C/YMR079W/YDR531W/YDR148C/YLR386W/YJL130C/YNL012W/YPL188W/YMR165C/YGR170W/YKR072C/YJR051W/YMR096W/YBR221C/YLR043C/YOR020W-A/YOR209C/YLR380W/YBR109C/YDL103C/YLR070C/YDR399W/YDR331W/YBL068W/YOR086C/YLR193C/YPR113W/YKR070W/YGR192C/YHR194W/YNL158W/YNL267W/YNL231C/YHR100C/YLR359W/YEL041W/YCR073W-A/YPL268W/YLR209C/YLR345W/YIL066C/YKL151C/YDL185W",225
"GO:0016053","organic acid biosynthetic process","114/2519","190/6447",0.6,1.53560936879714,6.00088608731104,2.67600824250275e-09,1.89216082813632e-07,1.52696786118249e-07,"YPL095C/YAL012W/YGL055W/YEL071W/YLR231C/YLR303W/YOR375C/YPR167C/YER052C/YDR354W/YKL001C/YOR391C/YPL061W/YOL058W/YPR035W/YMR170C/YMR169C/YJR148W/YLL062C/YNL037C/YCL018W/YGR124W/YLR372W/YMR207C/YMR272C/YIL074C/YHR067W/YOR136W/YGL148W/YMR009W/YER061C/YER055C/YFL018C/YIR017C/YLR027C/YJL200C/YLR058C/YJL071W/YBR084W/YLR438W/YGR286C/YPR067W/YHR208W/YPR145W/YPL273W/YKL192C/YFL030W/YMR210W/YNL277W/YLR355C/YBR249C/YLL058W/YDL131W/YHR025W/YNR050C/YJL097W/YOL140W/YJR137C/YDL110C/YGL202W/YGL125W/YIL116W/YGL009C/YHR137W/YJL196C/YAL062W/YFR055W/YBR248C/YIR033W/YLL027W/YCR034W/YNL104C/YGR208W/YNL135C/YML081W/YJL060W/YPR060C/YGL026C/YPR118W/YHR018C/YGL184C/YDR034C/YDR234W/YOL064C/YCR084C/YBR034C/YOR130C/YLR089C/YOR374W/YJR025C/YKL020C/YMR062C/YOR196C/YIL020C/YJR109C/YNL316C/YKR069W/YNR056C/YMR043W/YOR221C/YLR380W/YIL046W/YBR159W/YHR037W/YPL148C/YMR042W/YPR069C/YOR303W/YIL094C/YJR139C/YML096W/YER090W/YBR176W/YDR127W",114
"GO:0046394","carboxylic acid biosynthetic process","114/2519","190/6447",0.6,1.53560936879714,6.00088608731104,2.67600824250275e-09,1.89216082813632e-07,1.52696786118249e-07,"YPL095C/YAL012W/YGL055W/YEL071W/YLR231C/YLR303W/YOR375C/YPR167C/YER052C/YDR354W/YKL001C/YOR391C/YPL061W/YOL058W/YPR035W/YMR170C/YMR169C/YJR148W/YLL062C/YNL037C/YCL018W/YGR124W/YLR372W/YMR207C/YMR272C/YIL074C/YHR067W/YOR136W/YGL148W/YMR009W/YER061C/YER055C/YFL018C/YIR017C/YLR027C/YJL200C/YLR058C/YJL071W/YBR084W/YLR438W/YGR286C/YPR067W/YHR208W/YPR145W/YPL273W/YKL192C/YFL030W/YMR210W/YNL277W/YLR355C/YBR249C/YLL058W/YDL131W/YHR025W/YNR050C/YJL097W/YOL140W/YJR137C/YDL110C/YGL202W/YGL125W/YIL116W/YGL009C/YHR137W/YJL196C/YAL062W/YFR055W/YBR248C/YIR033W/YLL027W/YCR034W/YNL104C/YGR208W/YNL135C/YML081W/YJL060W/YPR060C/YGL026C/YPR118W/YHR018C/YGL184C/YDR034C/YDR234W/YOL064C/YCR084C/YBR034C/YOR130C/YLR089C/YOR374W/YJR025C/YKL020C/YMR062C/YOR196C/YIL020C/YJR109C/YNL316C/YKR069W/YNR056C/YMR043W/YOR221C/YLR380W/YIL046W/YBR159W/YHR037W/YPL148C/YMR042W/YPR069C/YOR303W/YIL094C/YJR139C/YML096W/YER090W/YBR176W/YDR127W",114
"GO:1901700","response to oxygen-containing compound","60/2519","85/6447",0.705882352941177,1.8065992574084,5.99437547972912,3.15630153254458e-09,2.14249748029126e-07,1.72898875530126e-07,"YGR088W/YNL036W/YHR055C/YKL071W/YNL134C/YHR141C/YFL033C/YJL084C/YDL168W/YKL062W/YHR008C/YOR363C/YCL043C/YJR101W/YML028W/YDL138W/YKR066C/YOL052C-A/YDR001C/YOR113W/YNL241C/YER028C/YBR126C/YOR018W/YGR008C/YDR541C/YFL052W/YMR037C/YNL201C/YOR153W/YDR169C/YMR275C/YKL107W/YKR071C/YAL051W/YDL035C/YOR124C/YAL056W/YOR371C/YNL162W/YIL036W/YHL010C/YHR106W/YDR075W/YHL007C/YMR116C/YBL024W/YPL096W/YDR353W/YDR171W/YMR175W/YMR038C/YHR206W/YDR256C/YJR060W/YHR151C/YDL190C/YDL194W/YPL203W/YNR074C",60
"GO:0009150","purine ribonucleotide metabolic process","57/2519","80/6447",0.7125,1.82353612544661,5.93517758822797,4.49246627182298e-09,2.83629879982389e-07,2.28888424685723e-07,"YLR446W/YJL052W/YOR393W/YCR012W/YKL016C/YJL116C/YDR322C-A/YPL075W/YKL152C/YPL271W/YAL038W/YBR196C/YDL004W/YHR174W/YJR009C/YJL005W/YLR295C/YJR121W/YKL060C/YMR323W/YDL021W/YDR050C/YML081C-A/YDR226W/YBL099W/YPL078C/YOR128C/YML035C/YPR020W/YOL136C/YDR298C/YDR377W/YGR240C/YAR015W/YOL077W-A/YFR053C/YML022W/YDR408C/YGL234W/YBR039W/YOR344C/YMR205C/YER170W/YOR347C/YGR254W/YNL220W/YLR432W/YCL040W/YGL253W/YOL056W/YMR120C/YOR020W-A/YDR399W/YGR192C/YLR359W/YLR345W/YDL185W",57
"GO:0009141","nucleoside triphosphate metabolic process","52/2519","71/6447",0.732394366197183,1.8744527506444,5.93287042181678,4.51267339983766e-09,2.83629879982389e-07,2.28888424685723e-07,"YLR446W/YJL052W/YOR393W/YCR012W/YKL016C/YJL116C/YDR322C-A/YPL075W/YKL152C/YPL271W/YAL038W/YBR196C/YDL004W/YHR174W/YJR009C/YLR295C/YJR121W/YKL060C/YMR323W/YDL021W/YDR050C/YML081C-A/YDR226W/YBL099W/YPL078C/YCR026C/YPR020W/YOL136C/YDR298C/YDR377W/YGR240C/YOR074C/YER005W/YOL077W-A/YFR053C/YNR012W/YJR103W/YBR039W/YOR344C/YBR252W/YMR205C/YER170W/YOR347C/YGR254W/YLR432W/YCL040W/YGL253W/YOL056W/YOR020W-A/YGR192C/YLR345W/YDL185W",52
